dataset,method,k,X_train_ratio,mae,timestamp
MovieLens100k,item-based,10,0.8,0.8753977231468322,2025-08-06T23:22:38.158949
MovieLens100k,item-based,20,0.8,0.8983110568940625,2025-08-06T23:22:44.646794
MovieLens100k,item-based,30,0.8,0.9094325750514453,2025-08-06T23:22:51.340668
MovieLens100k,item-based,40,0.8,0.9239666982236885,2025-08-06T23:22:58.128991
MovieLens100k,item-based,50,0.8,0.9352094129283478,2025-08-06T23:23:05.028539
MovieLens100k,item-based,60,0.8,0.9429984796443984,2025-08-06T23:23:12.155474
MovieLens100k,item-based,70,0.8,0.949775923692142,2025-08-06T23:23:19.334477
MovieLens100k,item-based,80,0.8,0.9591574234868762,2025-08-06T23:23:26.621067
MovieLens100k,item-based,90,0.8,0.9640593321398296,2025-08-06T23:23:33.875298
MovieLens100k,item-based,100,0.8,0.9715917220332,2025-08-06T23:23:41.075235
MovieLens100k,item-based,125,0.8,0.9795605731401534,2025-08-06T23:23:48.164924
MovieLens100k,item-based,150,0.8,0.9843694041484039,2025-08-06T23:23:55.325725
MovieLens100k,item-based,175,0.8,0.9879275914554949,2025-08-06T23:24:02.583441
MovieLens100k,item-based,200,0.8,0.9945539170828153,2025-08-06T23:24:09.873559
